Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,5 B,(25 B),(20 B),-50.34
12M 2008,21 B,(45 B),(24 B),-20.13
12M 2009,45 B,(27 B),18 B,14.99
12M 2010,59 B,(69 B),(10 B),-8.25
12M 2011,42 B,(29 B),13 B,11.14
12M 2012,82 B,(110 B),(28 B),-23.20
12M 2013,164 B,(193 B),(29 B),-24.47
12M 2014,53 B,(146 B),(93 B),-77.55
12M 2015,(9 B),(250 B),(259 B),-215.59
12M 2016,120 B,(62 B),58 B,48.67
12M 2017,91 B,(5 B),86 B,71.48
12M 2018,(463 B),(32 B),(495 B),-412.76
12M 2019,97 B,(9 B),89 B,73.76
12M 2020,(75 B),(2 B),(77 B),-63.92
12M 2021,(123 B),(1 B),(124 B),-103.07
12M 2022,154 B,(10 B),144 B,119.87
12M 2023,143 B,(11 B),132 B,109.96
12M 2024,123 B,,117 B,84.18
