Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.87 B,367.38,4.63,0.30,,10.52%,22.86%,58.71%,8.27
12M 2009,2.87 B,260.36,9.79,0.52,,7.32%,15.59%,15.06%,3.39
12M 2010,2.87 B,438.86,11.39,0.71,,10.10%,21.62%,21.07%,6.20
12M 2011,2.87 B,621.38,10.30,0.58,,12.12%,24.35%,26.26%,8.42
12M 2012,2.87 B,749.09,8.74,0.68,,13.24%,24.08%,28.12%,12.19
12M 2013,2.87 B,310.74,25.26,0.94,,4.86%,13.77%,16.36%,7.34
12M 2014,2.87 B,513.38,15.78,0.72,,6.92%,18.57%,18.25%,6.84
12M 2015,2.87 B,-134.45,-31.24,0.33,,-1.61%,-5.07%,7.72%,2.47
12M 2016,2.87 B,905.55,4.80,0.42,,9.95%,25.51%,9.08%,3.00
12M 2017,2.87 B,409.72,8.35,0.28,,4.34%,10.42%,8.60%,3.27
12M 2018,2.87 B,207.97,19.47,0.31,"2,420.82 B",2.04%,4.88%,8.00%,2.69
12M 2019,2.87 B,312.87,13.23,0.33,"1,928.31 B",3.23%,8.22%,5.66%,1.87
12M 2020,2.87 B,535.74,7.75,0.29,"3,449.55 B",4.39%,12.29%,12.30%,3.11
12M 2021,2.87 B,984.20,4.43,0.22,"5,290.40 B",7.01%,19.62%,17.02%,3.50
12M 2022,2.87 B,1915.09,2.58,0.19,"7,772.02 B",12.91%,28.60%,23.77%,4.91
12M 2023,2.87 B,319.55,12.52,0.17,"2,711.56 B",2.31%,4.82%,4.94%,1.17
12M 2024,2.87 B,445.02,8.20,0.13,"3,359.12 B",2.82%,6.43%,6.59%,1.70
