Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,104 B,(13 B),90 B,4036.15
12M 2009,81 B,(19 B),62 B,2776.38
12M 2010,160 B,(23 B),137 B,6100.96
12M 2011,156 B,(4 B),152 B,6778.11
12M 2012,88 B,(15 B),74 B,3296.27
12M 2013,133 B,(16 B),117 B,5244.64
12M 2014,233 B,(23 B),209 B,9348.87
12M 2015,161 B,(59 B),102 B,226.67
12M 2016,44 B,(25 B),18 B,40.87
12M 2017,130 B,(66 B),64 B,143.71
12M 2018,169 B,(24 B),145 B,323.89
12M 2019,(211 B),(30 B),(241 B),-537.38
12M 2020,72 B,(31 B),41 B,90.53
12M 2021,170 B,(43 B),127 B,282.86
12M 2022,110 B,(20 B),90 B,201.20
12M 2023,204 B,(20 B),184 B,410.65
12M 2024,56 B,(17 B),39 B,86.79
