Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(3 B),,(3 B),-20.64
12M 2009,1 B,(0 B),1 B,2.19
12M 2010,0 B,(0 B),0 B,1.41
12M 2011,0 B,(8 B),(8 B),-26.13
12M 2012,(39 B),(2 B),(41 B),-131.40
12M 2013,31 B,(1 B),30 B,69.52
12M 2014,50 B,(5 B),45 B,103.77
12M 2015,42 B,(39 B),3 B,7.57
12M 2016,(10 B),(2 B),(13 B),-29.33
12M 2017,(9 B),(1 B),(10 B),-22.89
12M 2018,(38 B),(0 B),(38 B),-87.45
12M 2019,(0 B),(1 B),(1 B),-3.19
12M 2020,(1 B),,(1 B),-2.82
12M 2021,1 B,(3 B),(2 B),-5.47
12M 2022,2 B,(1 B),1 B,1.77
12M 2023,(5 B),(0 B),(5 B),-11.03
12M 2024,(7 B),(0 B),(7 B),-16.89
