Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,11.21,,1.82,,4.62,,1.22,3.24,3.24,2.22
12M 2009,17.16,214.85,3.52,228.49,21.27,36.87,1.7,1.57,4.84,4.69,1.29,1.23,2.84,2.84,2.46
12M 2010,9.28,234.42,4.42,239.28,39.32,43.1,1.56,1.49,5.23,5.16,1.3,1.27,2.61,2.61,2.7
12M 2011,7.96,276.98,10.87,274.07,45.84,44.01,1.32,1.24,5.37,5.17,1.2,1.14,2.49,2.49,2.24
12M 2012,8.58,250.41,9.04,249.95,42.52,38.09,1.46,1.49,5.28,4.94,1.22,1.19,3.04,3.04,2.17
12M 2013,11.78,232.99,5.14,239.63,30.98,28.92,1.57,1.52,4.4,3.91,1.2,1.13,3.82,3.82,1.72
12M 2014,10.44,228.91,6.3,233.05,34.97,41.48,1.59,1.52,3.86,3.55,1.2,1.14,4.41,4.41,1.62
12M 2015,8.04,239.42,11.17,236.29,45.39,45.42,1.52,1.56,3.6,3.51,1.16,1.15,3.8,3.8,1.77
12M 2016,8.75,228.83,10.67,226.91,41.7,37.67,1.6,1.59,3.76,3.72,1.21,1.21,3.76,3.76,1.94
12M 2017,9.46,211.61,6.54,214.53,38.58,37.18,1.72,1.79,3.98,3.93,1.28,1.29,3.94,3.94,1.94
12M 2018,7.54,181.12,5.55,183.11,48.4,45.02,2.02,2.04,4.33,4.39,1.41,1.41,4.11,4.11,2.06
12M 2019,5.95,169.33,5.05,170.23,61.37,52.83,2.16,2.12,4.59,4.52,1.5,1.47,4.12,4.12,2.06
12M 2020,7.07,155.53,4.55,158.05,51.66,44.89,2.35,2.44,4.32,4.21,1.46,1.48,3.52,3.52,2.91
12M 2021,7.79,144.13,3.51,148.41,46.86,52.42,2.53,2.37,4.35,4.24,1.49,1.44,4.04,4.04,2.09
12M 2022,7.25,152.79,3.71,156.33,50.32,53.82,2.39,2.51,4.01,3.9,1.4,1.45,4.74,4.74,1.9
12M 2023,6.34,164.61,4.15,166.8,57.56,59.44,2.22,2.31,4.18,4.04,1.31,1.33,4.84,4.84,1.83
12M 2024,7.02,177.67,4.48,180.21,52.02,56.17,2.05,2.21,4.23,4.31,1.11,1.16,3.69,3.69,2.29
