Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,2.22,0.45,0.28,1.55,0.0,0.0,0.21,0.18,0.55
12M 2009,2.46,0.34,0.17,1.49,0.0,0.0,0.11,0.12,0.48
12M 2010,2.7,0.32,0.13,1.45,0.0,0.0,0.07,0.09,0.44
12M 2011,2.24,0.17,0.25,1.6,0.0,0.0,0.21,0.16,0.6
12M 2012,2.17,0.24,0.31,1.57,0.0,0.0,0.26,0.2,0.56
12M 2013,1.72,0.22,0.44,1.73,0.0,0.0,0.4,0.26,0.73
12M 2014,1.62,0.16,0.55,1.76,0.0,0.0,0.5,0.31,0.76
12M 2015,1.77,0.22,0.54,1.68,0.0,0.0,0.47,0.32,0.67
12M 2016,1.94,0.2,0.5,1.59,0.0,0.0,0.46,0.31,0.59
12M 2017,1.94,0.26,0.49,1.58,0.0,0.0,0.43,0.31,0.58
12M 2018,2.06,0.31,0.38,1.53,0.0,0.0,0.34,0.25,0.53
12M 2019,2.06,0.37,0.34,1.54,0.0,0.0,0.27,0.22,0.54
12M 2020,2.91,0.57,0.11,1.34,0.0,0.0,0.02,0.08,0.34
12M 2021,2.09,0.42,0.17,1.52,0.0,0.0,0.1,0.11,0.52
12M 2022,1.9,0.27,0.18,1.53,0.0,0.0,0.1,0.11,0.53
12M 2023,1.83,0.26,0.22,1.52,0.0,0.0,0.15,0.14,0.52
12M 2024,2.29,0.34,0.15,1.37,0.0,0.0,0.09,0.11,0.37
