Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"2,261 B","(1,052 B)","1,209 B",628.24
12M 2009,"3,265 B","(1,405 B)","1,860 B",966.93
12M 2010,"2,873 B","(1,097 B)","1,775 B",922.74
12M 2011,(90 B),"(1,828 B)","(1,919 B)",-997.24
12M 2012,"3,954 B","(3,892 B)",61 B,31.83
12M 2013,"2,473 B","(5,678 B)","(3,205 B)",-1665.80
12M 2014,"1,658 B","(5,116 B)","(3,458 B)",-1797.38
12M 2015,"3,201 B","(2,923 B)",277 B,144.17
12M 2016,"6,938 B","(2,335 B)","4,602 B",2391.91
12M 2017,"8,205 B","(3,396 B)","4,809 B",2499.28
12M 2018,"11,225 B","(3,111 B)","8,114 B",4216.91
12M 2019,"11,174 B","(4,987 B)","6,188 B",3215.85
12M 2020,"17,478 B","(5,351 B)","12,126 B",6302.36
12M 2021,"5,325 B","(4,935 B)",391 B,203.00
12M 2022,"9,868 B","(5,424 B)","4,444 B",2309.72
12M 2023,"4,409 B","(5,698 B)","(1,289 B)",-669.85
12M 2024,"6,527 B","(3,185 B)","3,342 B",1736.96
