Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.14 B,136.02,1.62,0.21,,12.01%,31.39%,50.46%,4.90
12M 2009,1.14 B,-156.86,-1.34,0.24,,-11.12%,-54.42%,-3.77%,-0.41
12M 2010,1.14 B,-100.34,-1.84,0.22,,-8.89%,-52.21%,-3.97%,
12M 2011,1.14 B,23.31,8.58,0.24,,2.66%,10.94%,19.74%,1.99
12M 2012,1.14 B,104.92,3.53,0.39,,7.80%,34.35%,14.10%,1.94
12M 2013,1.14 B,61.74,3.40,0.17,,4.22%,21.00%,12.34%,1.52
12M 2014,1.14 B,177.64,12.47,1.50,,12.46%,38.20%,30.66%,3.63
12M 2015,1.14 B,277.79,7.02,1.37,,17.79%,38.96%,33.90%,5.59
12M 2016,1.14 B,202.72,8.63,1.19,,9.16%,23.29%,18.87%,3.31
12M 2017,1.14 B,46.49,24.63,0.65,,1.82%,5.19%,7.68%,1.05
12M 2018,1.14 B,30.22,26.47,0.39,409.49 B,1.22%,3.23%,6.78%,1.02
12M 2019,5.71 B,16.30,6.26,0.23,543.64 B,2.85%,7.96%,12.47%,2.09
12M 2020,5.71 B,11.01,12.53,0.29,633.50 B,1.64%,5.20%,10.00%,1.56
12M 2021,5.71 B,121.94,11.24,2.32,"1,801.56 B",17.17%,45.30%,37.80%,7.44
12M 2022,5.71 B,239.20,8.13,2.27,"2,257.45 B",30.99%,62.51%,48.75%,13.84
12M 2023,57.05 B,13.72,11.37,2.07,"1,375.10 B",19.24%,31.17%,28.31%,10.72
12M 2024,57.05 B,11.80,11.69,1.81,"1,336.42 B",15.27%,24.55%,25.40%,10.80
