Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,296 B,(340 B),(44 B),-38.97
12M 2009,145 B,(454 B),(309 B),-271.11
12M 2010,84 B,(105 B),(21 B),-18.83
12M 2011,146 B,(17 B),129 B,112.96
12M 2012,178 B,(252 B),(73 B),-64.11
12M 2013,105 B,(97 B),8 B,7.32
12M 2014,280 B,(40 B),240 B,210.44
12M 2015,426 B,(61 B),365 B,319.84
12M 2016,392 B,(847 B),(455 B),-398.85
12M 2017,130 B,(205 B),(76 B),-66.20
12M 2018,352 B,(59 B),292 B,256.05
12M 2019,285 B,(139 B),146 B,25.56
12M 2020,566 B,(547 B),19 B,3.29
12M 2021,709 B,(503 B),205 B,36.01
12M 2022,"1,572 B",(159 B),"1,413 B",247.64
12M 2023,"1,128 B",(444 B),683 B,11.98
12M 2024,992 B,"(1,713 B)",(721 B),-12.64
