Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.81 B,245.79,4.84,0.94,,20.68%,28.72%,68.19%,25.11
12M 2009,1.89 B,151.44,17.83,2.81,,12.65%,16.21%,21.77%,14.93
12M 2010,1.89 B,241.97,13.12,2.60,,15.90%,21.45%,29.16%,22.89
12M 2011,1.89 B,286.21,10.39,1.79,,15.86%,21.91%,28.07%,28.72
12M 2012,1.89 B,174.18,14.35,1.58,,7.96%,12.50%,15.40%,13.25
12M 2013,1.89 B,63.03,31.73,1.48,,2.64%,4.47%,6.55%,3.66
12M 2014,1.89 B,180.06,11.66,1.22,,6.23%,11.43%,13.79%,8.82
12M 2015,1.89 B,130.99,12.98,1.07,,3.39%,7.94%,9.67%,25.78
12M 2016,1.89 B,233.80,8.17,1.24,,5.31%,12.81%,6.92%,9.52
12M 2017,1.89 B,152.20,16.89,1.34,,3.47%,7.45%,9.35%,27.46
12M 2018,1.89 B,29.38,80.67,1.40,686.79 B,0.62%,1.42%,4.90%,29.75
12M 2019,1.89 B,17.54,135.69,1.38,617.26 B,0.35%,0.84%,5.50%,1.66
12M 2020,1.89 B,-106.57,-15.15,0.87,926.93 B,-2.07%,-5.56%,9.26%,2.34
12M 2021,1.89 B,424.38,4.70,0.72,"1,827.28 B",8.23%,18.01%,17.31%,5.44
12M 2022,1.82 B,577.26,3.64,0.67,"2,069.00 B",10.25%,20.58%,18.66%,6.66
12M 2023,1.82 B,265.98,7.56,0.65,"1,408.00 B",4.80%,9.25%,10.62%,4.00
12M 2024,1.82 B,411.61,5.20,0.68,"1,775.68 B",6.99%,12.99%,14.28%,5.36
