Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,884.89,,11.51,,4.87,,1.06,5.09,5.09,2.27
12M 2009,1.95,38.44,46.83,-6.44,187.44,117.94,9.49,7.35,3.37,3.13,0.82,0.82,4.78,4.78,2.61
12M 2010,6.24,45.01,36.79,14.46,58.46,50.41,8.11,6.37,3.72,3.57,0.9,0.85,5.65,5.65,1.89
12M 2011,3.89,49.13,37.69,15.33,93.9,830.88,7.43,5.83,3.84,3.43,1.0,0.95,10.83,10.83,1.59
12M 2012,7.12,58.11,41.35,23.88,51.25,32.72,6.28,5.62,2.57,2.37,0.79,0.74,37.24,37.24,1.11
12M 2013,17.93,56.3,45.17,29.06,20.35,32.08,6.48,6.6,1.87,1.86,0.59,0.59,72.88,72.88,1.05
12M 2014,12.92,43.77,45.3,11.39,28.26,32.74,8.34,7.38,2.09,1.99,0.65,0.62,-16.69,-16.69,0.8
12M 2015,14.2,64.63,62.07,16.76,25.7,21.63,5.65,4.62,1.66,1.6,0.47,0.44,8.78,8.78,1.27
12M 2016,18.1,79.12,76.19,21.03,20.16,27.58,4.61,4.89,1.54,1.55,0.37,0.36,7.35,7.35,1.28
12M 2017,14.24,54.3,60.95,7.59,25.63,18.01,6.72,8.23,1.9,1.89,0.44,0.44,24.67,24.67,1.12
12M 2018,14.6,51.58,53.75,12.43,25.01,15.71,7.08,4.98,1.58,1.53,0.37,0.36,-22.72,-22.72,0.92
12M 2019,14.0,54.73,66.1,2.63,26.08,27.24,6.67,6.8,1.52,1.5,0.35,0.35,-3.11,-3.11,0.58
12M 2020,24.15,52.84,71.05,5.94,15.11,15.61,6.91,7.63,1.68,1.7,0.36,0.36,-6.88,-6.88,0.73
12M 2021,14.26,44.98,51.22,8.02,25.6,54.28,8.11,8.1,2.68,2.75,0.54,0.54,44.33,44.33,1.09
12M 2022,9.79,56.71,46.25,20.25,37.29,21.65,6.44,4.5,2.98,3.01,0.57,0.55,12.91,12.91,1.32
12M 2023,12.5,47.14,35.75,23.89,29.19,40.98,7.74,9.03,2.85,2.81,0.55,0.56,18.37,18.37,1.23
12M 2024,10.68,45.77,48.37,8.08,34.18,43.13,7.97,7.15,2.79,2.76,0.55,0.55,12.26,12.26,1.26
