Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,635 B,(310 B),325 B,178.98
12M 2009,184 B,(294 B),(110 B),-58.01
12M 2010,532 B,(408 B),124 B,65.47
12M 2011,719 B,(705 B),14 B,7.41
12M 2012,356 B,(737 B),(382 B),-201.99
12M 2013,381 B,(558 B),(178 B),-93.93
12M 2014,882 B,(906 B),(24 B),-12.85
12M 2015,383 B,(902 B),(519 B),-274.74
12M 2016,548 B,(608 B),(60 B),-31.55
12M 2017,810 B,(566 B),244 B,129.14
12M 2018,416 B,(961 B),(545 B),-288.21
12M 2019,872 B,(887 B),(15 B),-7.82
12M 2020,684 B,(392 B),291 B,154.02
12M 2021,"1,774 B",(406 B),"1,368 B",723.68
12M 2022,"1,254 B",(459 B),795 B,437.08
12M 2023,"1,423 B",(785 B),637 B,350.52
12M 2024,"1,256 B",(728 B),528 B,290.35
