Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,7 B,(2 B),5 B,14.44
12M 2013,(1 B),(4 B),(4 B),-12.73
12M 2014,6 B,(3 B),3 B,7.89
12M 2015,5 B,(2 B),3 B,10.22
12M 2016,14 B,(2 B),12 B,37.39
12M 2017,(4 B),(7 B),(11 B),-33.43
12M 2018,(13 B),(2 B),(15 B),-43.81
12M 2019,2 B,(1 B),1 B,2.47
12M 2020,12 B,(0 B),11 B,34.57
12M 2021,0 B,(5 B),(4 B),-13.42
12M 2022,21 B,(1 B),19 B,58.45
12M 2023,26 B,(0 B),26 B,77.41
12M 2024,24 B,(1 B),24 B,71.88
