Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,136.69 B,,0.00,11890.19,,0.00%,0.01%,0.04%,4.02
12M 2009,136.69 B,,0.00,33388.67,,0.00%,0.01%,0.01%,2.44
12M 2010,13.55 B,59.67,6.54,1.76,,4.37%,9.72%,8.69%,2.02
12M 2011,13.69 B,54.42,5.24,0.89,,3.98%,8.28%,8.02%,2.10
12M 2012,13.72 B,-77.64,-1.20,0.51,,-5.61%,-13.56%,2.31%,0.65
12M 2013,13.72 B,-201.36,-0.25,0.33,,-15.34%,-57.40%,1.54%,0.61
12M 2014,13.72 B,-45.54,-1.10,0.26,,-3.58%,-15.02%,2.92%,0.53
12M 2015,13.72 B,-37.50,-1.33,0.34,,-3.04%,-15.29%,0.91%,0.14
12M 2016,13.72 B,-35.23,-1.42,0.44,,-3.29%,-40.33%,0.86%,0.07
12M 2017,1.37 B,-1195.73,-0.14,0.15,,-11.82%,350.22%,4.69%,0.15
12M 2018,2.50 B,-591.88,-0.18,0.14,38.35 B,-11.07%,103.14%,-13.27%,-0.38
12M 2019,2.50 B,-1783.29,-0.06,0.13,198.31 B,-53.08%,99.65%,18.43%,-1.15
12M 2020,2.50 B,-307.30,-0.37,0.11,256.64 B,-10.14%,13.18%,2.04%,-0.32
12M 2021,2.50 B,51.47,2.12,0.07,850.85 B,1.56%,-2.26%,-10.43%,1.72
12M 2022,2.50 B,86.70,1.48,0.08,613.75 B,4.77%,-3.96%,-7.52%,1.63
12M 2023,2.50 B,25.07,4.51,0.12,309.93 B,1.37%,-1.16%,-1.24%,0.25
12M 2024,2.50 B,55.55,1.75,0.10,487.75 B,4.32%,-2.63%,-5.18%,0.97
