Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,669 B,(281 B),387 B,2.83
12M 2009,505 B,(256 B),249 B,1.82
12M 2010,955 B,(606 B),349 B,25.76
12M 2011,"1,129 B",(464 B),666 B,48.63
12M 2012,525 B,(407 B),118 B,8.60
12M 2013,52 B,(189 B),(137 B),-10.00
12M 2014,89 B,(212 B),(123 B),-8.95
12M 2015,(17 B),(98 B),(115 B),-8.40
12M 2016,8 B,(62 B),(54 B),-3.92
12M 2017,171 B,(84 B),87 B,63.49
12M 2018,26 B,(72 B),(46 B),-18.33
12M 2019,(56 B),(136 B),(192 B),-76.75
12M 2020,21 B,(158 B),(137 B),-54.98
12M 2021,140 B,(432 B),(291 B),-116.54
12M 2022,(85 B),(323 B),(408 B),-163.01
12M 2023,(50 B),(209 B),(259 B),-103.66
12M 2024,394 B,(288 B),106 B,42.42
