Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,0.19 B,133.71,3.74,0.76,,7.75%,17.50%,6.65%,
12M 2012,0.19 B,148.66,4.98,1.08,,2.87%,16.29%,4.63%,
12M 2013,0.19 B,171.05,3.86,0.74,,2.99%,16.61%,3.09%,
12M 2014,0.19 B,196.54,5.85,1.22,,2.79%,16.77%,3.40%,
12M 2015,0.19 B,230.59,4.97,1.10,,3.02%,17.93%,3.77%,
12M 2016,0.19 B,203.39,4.84,0.98,,3.67%,14.34%,3.52%,
12M 2017,0.19 B,209.78,4.84,0.99,,3.74%,13.64%,4.32%,
12M 2018,0.19 B,198.22,5.88,1.16,49.68 B,3.59%,11.78%,4.12%,
12M 2019,0.19 B,145.00,7.52,1.04,37.05 B,2.40%,8.33%,2.82%,
12M 2020,0.19 B,139.61,6.37,0.94,40.58 B,3.12%,7.62%,3.16%,
12M 2021,0.19 B,105.65,9.04,1.07,30.89 B,2.47%,5.64%,2.67%,
12M 2022,0.19 B,96.62,9.31,0.94,28.63 B,2.09%,5.08%,2.48%,
12M 2023,0.38 B,54.79,8.58,0.88,30.05 B,2.14%,5.66%,2.45%,
12M 2024,0.38 B,78.45,6.14,0.78,37.70 B,2.78%,7.56%,2.82%,
