Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,1 B,(2 B),(2 B),-3.02
12M 2009,5 B,(2 B),3 B,5.38
12M 2010,10 B,(3 B),7 B,12.26
12M 2011,2 B,(3 B),(1 B),-2.31
12M 2012,(0 B),(13 B),(13 B),-24.97
12M 2013,(6 B),(13 B),(19 B),-35.44
12M 2014,1 B,(4 B),(2 B),-3.87
12M 2015,16 B,(2 B),14 B,25.59
12M 2016,7 B,(3 B),4 B,8.33
12M 2017,21 B,(3 B),18 B,32.92
12M 2018,5 B,(20 B),(16 B),-29.25
12M 2019,18 B,(3 B),14 B,26.80
12M 2020,1 B,(8 B),(7 B),-12.57
12M 2021,40 B,(222 B),(182 B),-340.97
12M 2022,5 B,(46 B),(41 B),-76.60
12M 2023,(104 B),(24 B),(128 B),-238.55
12M 2024,(141 B),(121 B),(262 B),-23.35
