Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2013,,,,,,,,,,,,,5.38,5.38,1.75
12M 2014,54.83,94.19,29.32,119.7,6.66,7.36,3.88,3.77,8.95,9.32,1.6,1.61,4.67,4.67,2.2
12M 2015,56.15,123.2,35.2,144.15,6.5,6.4,2.96,2.88,7.21,7.05,1.27,1.22,2.94,2.94,2.53
12M 2016,58.79,134.18,33.08,159.89,6.21,5.73,2.72,2.98,7.4,7.91,1.2,1.22,2.71,2.71,2.95
12M 2017,54.27,111.14,29.45,135.96,6.73,7.4,3.28,3.62,9.23,9.37,1.41,1.47,3.35,3.35,2.56
12M 2018,39.82,109.14,29.4,119.56,9.17,8.86,3.34,3.09,11.4,11.75,1.55,1.44,3.14,3.14,2.65
12M 2019,40.65,129.24,33.42,136.47,8.98,8.46,2.82,2.92,11.77,12.46,1.41,1.46,2.71,2.71,4.11
12M 2020,40.16,112.19,31.49,120.86,9.09,9.29,3.25,3.56,14.31,14.89,1.46,,2.3,2.3,4.9
12M 2021,36.22,115.3,29.91,121.61,10.08,9.22,3.17,2.97,17.74,18.18,1.4,1.27,1.98,1.98,4.93
12M 2022,33.95,123.17,29.54,127.58,10.75,20.5,2.96,2.53,20.68,20.52,1.34,1.24,1.78,1.78,6.53
12M 2023,40.27,166.63,38.55,168.35,9.06,8.73,2.19,2.19,16.52,15.91,1.02,1.02,1.43,1.43,6.92
12M 2024,35.32,157.01,34.99,157.34,10.33,11.15,2.32,2.43,13.77,13.9,1.02,1.02,1.38,1.38,7.68
