Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2014,0.00 B,7191162.18,0.00,0.00,,11.56%,63.17%,93.50%,6.40
12M 2015,4.17 B,18.65,53.08,5.65,,4.94%,6.44%,19.28%,5.98
12M 2016,4.17 B,21.78,30.07,2.83,,5.39%,7.04%,10.39%,4.21
12M 2017,4.17 B,25.28,11.00,0.91,,5.08%,7.56%,12.77%,3.58
12M 2018,4.17 B,2.03,63.05,0.56,128.89 B,0.40%,0.60%,5.87%,1.44
12M 2019,4.17 B,-80.20,-1.38,1.20,(378.00 B),-18.39%,-31.21%,-26.72%,-11.18
12M 2020,4.17 B,-89.80,-0.58,1.58,(105.22 B),-25.53%,-53.68%,-9.51%,-2.22
12M 2021,4.17 B,-19.06,-2.62,1.20,(60.00 B),-5.73%,-12.83%,-7.18%,-25.81
12M 2022,4.17 B,-10.95,-4.57,0.29,(7.87 B),-3.38%,-7.94%,-3.43%,-3.91
12M 2023,4.17 B,-34.08,-1.09,0.17,(52.46 B),-11.86%,-33.05%,-7.53%,-29.78
12M 2024,4.17 B,-8.87,-7.22,0.24,35.01 B,-3.12%,-9.40%,1.17%,3.01
