Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,4.29 B,25.94,0.00,0.00,,3.39%,14.47%,49.88%,2.01
12M 2013,7.19 B,28.33,5.08,0.29,,4.63%,10.52%,21.74%,2.86
12M 2014,7.19 B,29.90,7.96,0.51,,3.95%,9.24%,16.49%,2.65
12M 2015,7.19 B,22.13,8.50,0.38,,2.92%,6.23%,14.65%,1.82
12M 2016,7.19 B,14.32,14.66,0.46,,1.70%,3.89%,13.67%,1.47
12M 2017,7.19 B,1.20,95.83,0.23,,0.14%,0.30%,8.06%,1.08
12M 2018,7.19 B,6.78,12.39,0.14,447.87 B,0.75%,1.67%,8.02%,1.23
12M 2019,7.19 B,25.84,7.12,0.27,608.68 B,2.89%,5.99%,12.70%,1.89
12M 2020,7.19 B,24.47,6.54,0.30,470.52 B,2.89%,5.27%,9.25%,1.75
12M 2021,7.19 B,67.64,5.88,0.53,957.15 B,6.85%,12.83%,20.22%,4.78
12M 2022,7.19 B,42.56,5.78,0.28,709.57 B,4.13%,7.38%,13.00%,2.96
12M 2023,7.19 B,69.31,4.21,0.33,"1,031.34 B",6.25%,10.79%,17.09%,3.70
12M 2024,7.19 B,73.77,3.63,0.31,"1,053.15 B",6.39%,10.51%,14.58%,4.20
