Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,(774 B),(61 B),(835 B),-194.84
12M 2013,305 B,(238 B),67 B,9.26
12M 2014,(191 B),(363 B),(554 B),-77.09
12M 2015,176 B,(540 B),176 B,-50.60
12M 2016,(374 B),(310 B),(684 B),-95.22
12M 2017,743 B,(216 B),528 B,73.46
12M 2018,(375 B),(75 B),(450 B),-62.61
12M 2019,461 B,(139 B),322 B,44.82
12M 2020,351 B,(66 B),284 B,39.56
12M 2021,(110 B),41 B,(69 B),-9.66
12M 2022,(32 B),(108 B),(139 B),-19.38
12M 2023,202 B,(62 B),139 B,19.40
12M 2024,893 B,(264 B),629 B,87.49
