Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"2,582 B","(1,135 B)","1,446 B",1280.05
12M 2009,"3,767 B",(823 B),"2,944 B",2605.16
12M 2010,"2,153 B",(564 B),"1,589 B",1406.33
12M 2011,"5,365 B",(627 B),"4,737 B",4192.53
12M 2012,"4,007 B",(629 B),"3,378 B",2989.49
12M 2013,"1,943 B",(702 B),"1,241 B",1098.04
12M 2014,"2,375 B",(743 B),"1,632 B",1444.57
12M 2015,"2,658 B",(498 B),"2,160 B",1911.32
12M 2016,"1,951 B",(314 B),"1,637 B",1448.68
12M 2017,"4,322 B",(896 B),"3,425 B",3031.36
12M 2018,"5,139 B","(1,425 B)","3,714 B",3287.11
12M 2019,"1,244 B","(1,065 B)",179 B,158.22
12M 2020,"2,437 B",(385 B),"2,051 B",1815.42
12M 2021,"8,820 B",(319 B),"8,500 B",7523.06
12M 2022,"20,667 B",(692 B),"19,975 B",17677.75
12M 2023,"3,413 B","(1,246 B)","2,166 B",1917.38
12M 2024,"7,305 B","(1,446 B)","5,859 B",5185.31
