Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,5.00 B,6.15,0.00,0.00,,2.75%,5.74%,11.72%,2.06
12M 2011,5.88 B,48.41,56.29,5.60,,8.58%,10.05%,20.67%,15.66
12M 2012,5.88 B,30.22,78.59,3.53,,5.17%,6.14%,4.09%,36.35
12M 2013,5.88 B,28.75,75.65,2.89,,4.20%,5.71%,1.52%,5.31
12M 2014,5.88 B,22.68,88.18,2.27,,3.40%,4.34%,5.74%,2.70
12M 2015,5.88 B,4.59,305.01,1.74,,0.53%,0.79%,3.46%,
12M 2016,5.88 B,77.93,34.65,3.11,,9.03%,12.92%,16.07%,
12M 2017,5.88 B,267.85,10.27,1.59,,19.70%,39.98%,50.34%,
12M 2018,5.88 B,239.27,10.66,1.01,"2,109.78 B",13.86%,30.89%,36.21%,
12M 2019,5.88 B,157.30,16.21,0.96,"1,748.75 B",8.53%,18.70%,23.25%,
12M 2020,5.88 B,232.77,10.96,0.97,"2,119.76 B",11.93%,28.01%,27.39%,
12M 2021,5.88 B,846.69,9.39,2.06,"6,987.60 B",42.08%,110.73%,107.22%,
12M 2022,5.88 B,1720.60,4.10,0.95,"13,890.70 B",57.49%,117.68%,170.57%,
12M 2023,5.88 B,1344.29,4.31,0.77,"11,468.95 B",39.04%,78.35%,100.92%,
12M 2024,5.88 B,1276.66,8.32,1.46,"10,783.08 B",37.50%,71.27%,90.82%,
