Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2007,9.39 B,2.26,29.65,0.39,,1.64%,2.11%,9.55%,10.40
12M 2008,9.39 B,2.90,17.24,0.20,,1.97%,2.64%,7.16%,2.95
12M 2009,9.39 B,3.96,12.63,0.14,,2.27%,3.16%,6.40%,2.19
12M 2010,9.39 B,6.51,10.91,0.18,,2.98%,4.96%,10.37%,2.87
12M 2011,9.39 B,2.35,22.98,0.13,,0.84%,1.77%,7.97%,1.47
12M 2012,9.39 B,2.38,21.01,0.11,,0.68%,1.77%,8.06%,1.19
12M 2013,9.39 B,1.03,48.54,0.12,,0.31%,0.76%,7.49%,0.95
12M 2014,9.39 B,0.19,278.95,0.20,,0.06%,0.14%,-0.18%,-0.02
12M 2015,0.94 B,-375.18,-2.27,0.38,,-15.68%,-47.99%,-20.68%,-2.24
12M 2016,1.34 B,9.74,69.82,0.38,,0.51%,1.14%,4.04%,0.51
12M 2017,1.34 B,-265.05,-3.51,0.51,,-15.85%,-44.85%,-10.99%,-1.51
12M 2018,1.34 B,19.37,52.92,0.44,220.04 B,1.19%,3.09%,11.12%,1.38
12M 2019,1.34 B,59.57,14.27,0.28,300.26 B,3.23%,8.71%,17.59%,2.28
12M 2020,1.34 B,21.11,71.06,0.46,228.60 B,1.09%,3.04%,12.49%,1.96
12M 2021,1.34 B,-8.79,-227.53,0.49,93.62 B,-0.42%,-1.29%,-0.45%,-0.08
12M 2022,1.34 B,-162.87,-8.75,0.32,138.05 B,-7.26%,-31.05%,3.87%,0.51
12M 2023,1.84 B,-9.41,-143.46,0.41,208.23 B,-0.53%,-1.45%,10.12%,1.57
12M 2024,1.84 B,1.81,455.80,0.28,157.92 B,0.11%,0.28%,4.88%,0.95
