Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2007,,,,,,,,,,,,,4.29,,2.41
12M 2008,34.97,52.19,20.5,66.66,10.44,9.44,6.99,5.93,4.83,4.85,1.74,1.66,5.51,5.51,2.28
12M 2009,32.98,37.9,12.4,58.48,11.07,10.11,9.63,7.84,5.76,5.67,2.14,2.03,7.47,7.47,2.02
12M 2010,35.59,44.38,13.17,66.8,10.26,9.54,8.22,7.63,4.85,4.72,1.97,1.81,6.99,6.99,1.92
12M 2011,31.48,51.6,16.33,66.75,11.59,10.77,7.07,6.16,3.79,3.48,1.72,1.56,11.62,11.62,1.39
12M 2012,40.31,58.77,25.68,73.4,9.05,8.76,6.21,5.41,3.15,2.97,1.47,1.37,19.38,19.38,1.16
12M 2013,50.52,65.33,27.29,88.56,7.23,8.21,5.59,6.71,2.5,2.41,1.19,1.21,21.58,21.58,1.15
12M 2014,62.91,91.36,27.08,127.19,5.8,5.02,4.0,3.72,2.0,2.44,0.84,0.89,4.84,4.84,1.43
12M 2015,59.07,88.11,31.05,116.13,6.18,8.22,4.14,5.78,2.37,2.42,0.84,0.96,21.43,21.43,1.09
12M 2016,40.26,75.41,27.96,87.71,9.06,8.66,4.84,4.32,2.85,2.88,1.01,0.93,5.74,5.74,1.39
12M 2017,42.63,69.65,27.96,84.32,8.56,16.97,5.24,11.17,2.8,5.35,1.02,2.19,25.56,25.56,1.09
12M 2018,37.2,55.21,28.24,64.17,9.81,9.11,6.61,6.57,3.48,3.52,1.41,1.44,29.2,29.2,1.1
12M 2019,36.65,20.93,30.57,27.01,9.96,8.47,17.44,15.72,4.73,4.75,1.76,1.73,17.82,17.82,1.18
12M 2020,42.5,,49.41,-6.91,8.59,8.22,,,5.18,5.29,1.71,1.74,35.96,35.96,1.08
12M 2021,36.71,26.58,50.48,12.81,9.94,9.11,13.73,13.73,6.82,6.84,2.02,1.93,463.93,463.93,1.01
12M 2022,35.7,51.06,51.7,35.06,10.22,9.2,7.15,6.67,7.68,7.65,2.09,2.02,-21.82,-21.82,0.87
12M 2023,35.59,51.7,51.48,35.81,10.25,10.74,7.06,7.51,7.55,7.62,1.94,1.84,35.24,35.24,1.09
12M 2024,35.74,49.17,52.01,32.9,10.21,11.44,7.42,8.45,5.93,5.61,1.67,1.75,167.0,167.0,1.02
