Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2013,,,,,,,,,,,,,26.59,26.59,1.06
12M 2014,26.23,134.41,47.45,113.19,13.92,14.4,2.72,2.71,4.17,4.29,1.12,1.13,57.1,57.1,1.02
12M 2015,23.13,115.13,63.74,74.52,15.78,16.66,3.17,4.96,4.24,4.03,1.23,1.44,-22.24,-22.24,0.9
12M 2016,20.28,119.43,152.42,-12.71,18.0,14.93,3.06,3.4,3.3,3.53,1.13,1.24,-10.15,-10.15,0.85
12M 2017,21.08,99.75,108.72,12.11,17.32,14.22,3.66,3.38,5.18,5.35,1.54,1.47,-74.97,-74.97,0.97
12M 2018,18.83,102.88,82.71,39.0,19.38,12.7,3.55,3.14,6.86,6.69,1.71,1.51,-154.34,-154.34,0.99
12M 2019,20.67,171.76,81.11,111.32,17.66,36.13,2.13,2.75,3.7,3.86,0.99,1.22,-5.41,-5.41,0.74
12M 2020,31.11,232.91,69.48,194.54,11.73,9.02,1.57,1.88,1.86,1.87,0.63,0.68,-2.01,-2.01,0.65
12M 2021,29.74,138.34,90.23,77.85,12.27,11.29,2.64,3.29,3.11,3.25,1.06,1.17,5.98,5.98,1.41
12M 2022,25.45,139.07,86.6,77.92,14.34,31.44,2.62,2.49,2.85,2.91,0.97,0.92,8.42,8.42,1.27
12M 2023,12.11,149.43,41.45,120.09,30.13,28.17,2.44,2.69,2.28,2.38,0.85,0.89,-12.55,-12.55,0.87
12M 2024,18.27,222.72,11.82,229.17,19.97,167751.74,1.64,2.37,0.9,0.96,0.44,0.56,-1.75,-1.75,0.49
