Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,0.31 B,84.80,7.08,0.06,,0.95%,3.97%,19.57%,1.92
12M 2014,0.62 B,3.16,84.81,0.05,,0.06%,0.30%,8.04%,0.81
12M 2015,0.62 B,-87.04,-2.27,0.04,,-2.45%,-9.49%,-3.38%,-0.40
12M 2016,0.84 B,-119.54,-1.53,0.06,,-4.64%,-24.75%,-4.96%,-0.65
12M 2017,0.62 B,13.71,16.05,0.04,,0.36%,2.23%,7.88%,0.85
12M 2018,0.62 B,10.62,37.66,0.06,155.75 B,0.24%,2.00%,16.64%,1.15
12M 2019,0.62 B,-485.08,-0.74,0.10,(108.28 B),-17.32%,-13643.61%,-40.55%,-1.50
12M 2020,0.62 B,-447.64,-0.55,0.15,(76.86 B),-19.33%,102.44%,-180.32%,-1.22
12M 2021,3.82 B,0.14,2142.86,0.78,84.14 B,0.04%,0.10%,2.74%,0.11
12M 2022,3.82 B,-12.33,-22.06,0.86,32.26 B,-4.10%,-8.99%,-6.41%,-1.35
12M 2023,3.82 B,-42.71,-4.50,0.85,(70.37 B),-18.43%,-46.15%,-25.53%,-3.09
12M 2024,3.82 B,-62.56,-1.18,0.97,(28.01 B),-53.08%,-189.15%,-33.63%,-2.27
