Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,(706 B),(18 B),(724 B),-2349.80
12M 2014,(936 B),(13 B),(949 B),-1540.57
12M 2015,"1,750 B",(0 B),"1,749 B",2839.52
12M 2016,49 B,(3 B),47 B,55.78
12M 2017,(373 B),(10 B),(383 B),-621.78
12M 2018,(444 B),(32 B),(476 B),-772.56
12M 2019,(254 B),(15 B),(269 B),-436.71
12M 2020,193 B,(9 B),184 B,298.69
12M 2021,233 B,(3 B),230 B,60.23
12M 2022,(87 B),(5 B),(92 B),-24.09
12M 2023,(83 B),(2 B),(85 B),-22.31
12M 2024,196 B,(0 B),196 B,51.25
