Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"(1,057 B)",(321 B),"(1,378 B)",-69.20
12M 2009,(366 B),"(1,593 B)","(1,959 B)",-98.35
12M 2010,"(2,209 B)",(947 B),"(3,156 B)",-79.05
12M 2011,"(1,269 B)",(338 B),"(1,607 B)",-40.26
12M 2012,817 B,"(1,048 B)",(231 B),-5.31
12M 2013,282 B,(208 B),75 B,1.71
12M 2014,138 B,(108 B),30 B,0.69
12M 2015,113 B,(91 B),22 B,0.50
12M 2016,(444 B),(32 B),(476 B),-10.94
12M 2017,(341 B),(65 B),(406 B),-9.33
12M 2018,(58 B),(22 B),(80 B),-1.85
12M 2019,(10 B),(24 B),(33 B),-0.77
12M 2020,(54 B),(9 B),(64 B),-1.46
12M 2021,14 B,(5 B),9 B,0.21
12M 2022,90 B,233 B,323 B,7.42
12M 2023,36 B,(38 B),(2 B),-0.04
12M 2024,30 B,(161 B),(131 B),-3.01
