Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"9,953 B","(5,429 B)","4,524 B",1117.49
12M 2009,"11,335 B","(5,283 B)","6,052 B",1494.93
12M 2010,"2,907 B","(6,160 B)","(3,253 B)",-803.54
12M 2011,"9,330 B","(9,772 B)",(442 B),-109.18
12M 2012,"8,932 B","(11,125 B)","(2,193 B)",-54.17
12M 2013,"21,250 B","(10,531 B)","10,719 B",264.77
12M 2014,"14,963 B","(11,359 B)","3,604 B",89.02
12M 2015,"26,290 B","(8,507 B)","17,783 B",439.26
12M 2016,"19,407 B","(8,902 B)","10,505 B",259.49
12M 2017,"23,285 B","(12,798 B)","10,487 B",259.04
12M 2018,"27,692 B","(15,530 B)","12,162 B",300.42
12M 2019,"19,175 B","(13,073 B)","6,102 B",150.73
12M 2020,"37,683 B","(5,327 B)","32,356 B",799.24
12M 2021,"38,252 B","(5,727 B)","32,525 B",803.41
12M 2022,"37,342 B","(11,867 B)","25,475 B",629.27
12M 2023,"33,746 B","(22,102 B)","11,644 B",287.62
12M 2024,"45,029 B","(17,540 B)","27,489 B",679.02
