Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,14.28,,9.7,,5.59,,1.22,11.22,11.22,1.32
12M 2009,25.46,38.42,33.95,29.93,14.34,13.05,9.5,10.84,4.84,4.6,1.16,1.13,9.99,9.99,1.37
12M 2010,23.82,32.08,29.3,26.6,15.32,13.77,11.38,10.61,5.61,5.43,1.29,1.18,13.37,13.37,1.26
12M 2011,26.85,31.92,34.7,24.07,13.59,11.1,11.43,11.48,6.12,5.87,1.22,1.07,9.23,9.23,1.36
12M 2012,30.05,32.78,33.92,28.91,12.14,10.74,11.13,10.28,5.96,5.54,1.12,1.04,8.7,8.7,1.4
12M 2013,34.16,34.2,34.48,33.88,10.69,9.79,10.67,10.66,5.37,5.22,0.98,0.92,11.26,11.26,1.24
12M 2014,37.26,35.2,40.46,32.0,9.8,9.07,10.37,9.03,5.1,4.92,0.9,0.85,8.5,8.5,1.32
12M 2015,38.75,43.71,48.75,33.71,9.42,9.46,8.35,8.16,4.44,4.39,0.77,0.74,6.37,6.37,1.38
12M 2016,37.01,45.56,54.31,28.26,9.86,9.48,8.01,8.59,4.26,4.26,0.71,0.71,8.49,8.49,1.24
12M 2017,39.23,41.56,57.93,22.86,9.3,8.24,8.78,8.23,4.5,4.33,0.74,0.7,9.04,9.04,1.23
12M 2018,43.16,44.56,69.47,18.25,8.46,7.64,8.19,7.41,4.51,4.3,0.75,0.71,13.95,13.95,1.15
12M 2019,46.62,49.59,70.64,25.57,7.83,7.66,7.36,7.4,3.95,3.81,0.68,0.67,8.15,8.15,1.29
12M 2020,48.37,56.45,62.33,42.49,7.55,10.26,6.47,6.96,2.88,2.92,0.51,0.52,3.76,3.76,1.54
12M 2021,30.38,,41.69,28.44,12.02,10.74,9.18,8.84,4.08,4.2,0.66,0.64,4.13,4.13,1.54
12M 2022,31.04,42.72,49.55,24.21,11.76,10.38,8.54,7.54,5.25,5.15,0.77,0.73,4.97,4.97,1.51
12M 2023,33.07,53.61,58.65,28.03,11.04,10.75,6.81,6.55,4.78,4.44,0.74,0.71,7.69,7.69,1.33
12M 2024,30.25,54.54,56.44,28.35,12.07,11.72,6.69,7.03,4.37,4.27,0.72,0.7,7.25,7.25,1.35
