Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,4.05 B,2790.76,3.78,0.44,,13.99%,34.15%,44.10%,23.15
12M 2009,4.05 B,3073.84,11.29,1.43,,13.99%,31.19%,21.98%,26.30
12M 2010,4.05 B,4200.22,12.99,1.70,,15.07%,34.48%,21.35%,30.42
12M 2011,4.05 B,4393.14,16.84,1.84,,11.58%,29.42%,19.72%,25.12
12M 2012,40.48 B,479.73,15.84,1.64,,10.65%,27.28%,17.04%,19.46
12M 2013,40.48 B,479.63,14.18,1.42,,9.07%,23.13%,13.73%,16.77
12M 2014,40.48 B,473.80,15.67,1.49,,8.13%,20.06%,13.21%,14.66
12M 2015,40.48 B,357.28,16.79,1.32,,5.89%,14.17%,10.38%,12.56
12M 2016,40.48 B,374.37,22.10,1.85,,5.79%,13.54%,10.25%,10.05
12M 2017,40.48 B,465.55,17.83,1.63,,6.37%,15.23%,10.99%,9.95
12M 2018,40.48 B,535.35,15.36,1.39,"36,290.00 B",6.29%,15.83%,12.63%,8.65
12M 2019,40.48 B,536.19,12.92,1.18,"39,636.00 B",6.17%,14.68%,10.90%,5.98
12M 2020,40.48 B,399.27,15.09,1.39,"26,268.00 B",4.78%,10.38%,5.10%,3.78
12M 2021,40.48 B,498.87,11.43,0.99,"37,828.00 B",5.50%,11.74%,9.90%,11.16
12M 2022,40.48 B,714.96,7.97,0.77,"54,795.00 B",7.00%,15.06%,15.14%,20.03
12M 2023,40.48 B,835.87,6.76,0.72,"57,330.00 B",7.60%,17.04%,14.41%,14.22
12M 2024,40.48 B,841.11,5.83,0.60,"57,763.00 B",7.22%,15.94%,12.77%,11.08
