Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,162 B,(14 B),148 B,9250.23
12M 2009,169 B,(17 B),152 B,9496.68
12M 2010,32 B,(17 B),14 B,900.41
12M 2011,177 B,(8 B),170 B,10602.68
12M 2012,248 B,(16 B),233 B,14545.32
12M 2013,349 B,(15 B),334 B,20835.71
12M 2014,164 B,(38 B),126 B,7882.84
12M 2015,247 B,(11 B),236 B,294.68
12M 2016,260 B,(10 B),250 B,312.05
12M 2017,342 B,(12 B),330 B,412.52
12M 2018,342 B,(17 B),326 B,406.87
12M 2019,274 B,(12 B),262 B,327.55
12M 2020,247 B,(10 B),237 B,295.45
12M 2021,335 B,(22 B),314 B,391.61
12M 2022,197 B,(15 B),182 B,226.73
12M 2023,135 B,(16 B),119 B,148.45
12M 2024,178 B,(12 B),166 B,206.94
