Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.43,0.25,2.8,4.35,0.0,0.0,2.71,0.64,3.35
12M 2009,0.51,0.35,3.13,4.83,0.0,0.0,2.91,0.65,3.83
12M 2010,0.37,0.14,2.0,3.47,0.0,0.0,1.97,0.58,2.47
12M 2011,0.45,0.15,0.68,1.83,0.0,0.0,0.67,0.37,0.83
12M 2012,1.16,0.39,0.37,1.51,0.0,0.0,0.36,0.25,0.51
12M 2013,2.01,0.9,0.48,1.63,0.0,0.0,0.46,0.3,0.63
12M 2014,1.86,0.79,0.44,1.58,0.0,0.0,0.42,0.28,0.58
12M 2015,0.66,0.41,0.57,1.67,0.0,0.0,0.55,0.34,0.67
12M 2016,0.64,0.52,0.58,1.67,0.0,0.0,0.54,0.34,0.67
12M 2017,0.54,0.5,0.71,1.79,0.0,0.0,0.69,0.4,0.79
12M 2018,0.39,0.38,0.82,1.93,0.0,0.0,0.79,0.43,0.93
12M 2019,0.18,0.17,0.96,2.08,0.0,0.0,0.94,0.46,1.08
12M 2020,0.3,0.29,1.08,2.28,0.0,0.0,1.07,0.47,1.28
12M 2021,0.15,0.14,1.36,2.64,0.0,0.0,-0.04,0.52,1.64
12M 2022,0.14,0.12,1.68,3.1,0.0,0.0,1.66,0.54,2.1
12M 2023,0.15,0.1,1.99,3.63,0.0,0.0,1.97,0.55,2.63
12M 2024,0.1,0.06,2.38,4.31,0.0,0.0,2.36,0.55,3.31
