Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,1 B,(0 B),1 B,1.26
12M 2009,(1 B),(0 B),(1 B),-0.79
12M 2010,(4 B),(0 B),(4 B),-3.90
12M 2011,(3 B),(3 B),(6 B),-5.49
12M 2012,0 B,(0 B),0 B,0.35
12M 2013,1 B,(0 B),1 B,0.68
12M 2014,6 B,(7 B),(1 B),-0.55
12M 2015,(6 B),(12 B),(18 B),-16.24
12M 2016,139 B,(160 B),(21 B),-3.66
12M 2017,(160 B),(7 B),(168 B),0.00
12M 2018,"1,088 B","(1,290 B)",(201 B),0.00
12M 2019,94 B,(107 B),(13 B),0.00
12M 2020,(5 B),2 B,(2 B),-0.05
12M 2021,8 B,(0 B),7 B,0.16
12M 2022,23 B,(0 B),22 B,0.48
12M 2023,138 B,(67 B),71 B,1.54
12M 2024,71 B,(22 B),49 B,1.06
