Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,71 B,(7 B),63 B,91.17
12M 2009,68 B,(4 B),63 B,90.96
12M 2010,248 B,(38 B),210 B,301.85
12M 2011,479 B,(20 B),459 B,659.26
12M 2012,433 B,(11 B),421 B,604.96
12M 2013,14 B,(24 B),(11 B),-15.58
12M 2014,(35 B),(33 B),(68 B),-98.40
12M 2015,349 B,(75 B),274 B,393.38
12M 2016,263 B,(38 B),225 B,323.23
12M 2017,"(3,427 B)",(20 B),"(3,447 B)",-4953.25
12M 2018,(475 B),(74 B),(549 B),-788.92
12M 2019,(248 B),(19 B),(267 B),-99.52
12M 2020,(693 B),(10 B),(703 B),-262.38
12M 2021,85 B,(11 B),73 B,27.34
12M 2022,(87 B),(2 B),(89 B),-33.14
12M 2023,22 B,(4 B),18 B,6.77
12M 2024,81 B,(4 B),77 B,28.80
