Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,0 B,(83 B),(82 B),-116.98
12M 2009,(0 B),(0 B),(0 B),-0.15
12M 2010,8 B,(0 B),8 B,5.99
12M 2011,(0 B),(0 B),(0 B),-0.05
12M 2012,5 B,(0 B),5 B,3.65
12M 2013,(672 B),(800 B),"(1,472 B)",-261.52
12M 2014,48 B,(0 B),48 B,8.53
12M 2015,(27 B),(0 B),(27 B),-4.87
12M 2016,27 B,,27 B,4.86
12M 2017,(12 B),,(12 B),-2.18
12M 2018,1 B,,1 B,0.24
12M 2019,(7 B),,(7 B),-1.20
12M 2020,0 B,,0 B,0.02
