Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.70 B,-9.58,-6.26,5.29,,-3.72%,-4.23%,-2.41%,-12.37
12M 2009,1.41 B,-0.76,-78.95,6.92,,-0.59%,-0.67%,-0.95%,-96.15
12M 2010,1.41 B,-0.38,-157.89,7.67,,-0.32%,-0.34%,-0.58%,-20.71
12M 2011,1.41 B,-0.10,-710.00,19.75,,-0.09%,-0.09%,-0.84%,-235.32
12M 2012,1.41 B,0.79,259.49,23.62,,0.64%,0.70%,-0.16%,-34.84
12M 2013,5.63 B,-1.09,-261.47,144.22,,-0.37%,-0.38%,-0.10%,-93.50
12M 2014,5.63 B,-1.68,-357.14,23.41,,-0.55%,-0.59%,1.63%,124.44
12M 2015,5.63 B,-0.12,-5166.67,83.76,,-0.04%,-0.04%,0.25%,306.98
12M 2016,5.63 B,0.56,241.07,35.28,,0.19%,0.19%,-0.58%,-841.40
12M 2017,5.63 B,-2.38,-33.61,75.07,,-0.81%,-0.83%,-0.60%,
12M 2018,5.63 B,-1.27,-102.36,86.00,(4.54 B),-0.43%,-0.45%,-0.28%,
12M 2019,5.63 B,-1.27,-89.76,93.78,(6.93 B),-0.44%,-0.45%,-0.44%,
12M 2020,5.63 B,-0.49,-232.65,320.91,(2.40 B),-0.17%,-0.17%,-0.18%,
