Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,(110 B),(28 B),(139 B),-34.59
12M 2012,(53 B),(20 B),(73 B),-18.16
12M 2013,(50 B),(5 B),(56 B),-13.90
12M 2014,(20 B),(1 B),(21 B),-0.66
12M 2015,(6 B),(25 B),(31 B),-0.98
12M 2016,(4 B),(1 B),(4 B),-0.14
12M 2017,(31 B),,(31 B),-0.97
12M 2018,6 B,(1 B),5 B,0.15
12M 2019,29 B,(1 B),28 B,0.89
12M 2020,16 B,0 B,17 B,0.52
12M 2021,3 B,(3 B),0 B,0.01
12M 2022,3 B,(0 B),3 B,0.09
12M 2023,(1 B),(0 B),(1 B),-0.03
