Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,571 B,(507 B),64 B,18.37
12M 2009,"1,137 B",(336 B),802 B,230.09
12M 2010,"1,011 B",(749 B),262 B,75.08
12M 2011,304 B,(800 B),(496 B),-142.30
12M 2012,"1,707 B","(1,872 B)",(165 B),-47.31
12M 2013,"1,299 B",(868 B),431 B,123.78
12M 2014,152 B,"(1,585 B)","(1,433 B)",-411.18
12M 2015,796 B,"(1,190 B)",(395 B),-113.30
12M 2016,"1,293 B","(1,018 B)",275 B,78.98
12M 2017,739 B,(482 B),257 B,73.61
12M 2018,480 B,(434 B),45 B,12.99
12M 2019,"1,258 B",(568 B),690 B,198.01
12M 2020,"2,599 B",(284 B),"2,267 B",650.62
12M 2021,294 B,(534 B),(239 B),-68.65
12M 2022,721 B,(888 B),(167 B),-48.00
12M 2023,"1,277 B","(1,053 B)",224 B,64.22
12M 2024,"1,835 B","(1,421 B)",414 B,118.71
