Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,13.94,,4.59,,2.22,,0.92,8.08,8.08,1.48
12M 2009,27.28,67.5,59.61,35.17,13.38,11.83,5.41,7.87,2.2,2.2,0.9,0.91,3.89,3.89,2.53
12M 2010,35.98,44.99,41.04,39.93,10.15,7.85,8.11,7.24,2.56,2.49,1.02,0.98,5.08,5.08,1.76
12M 2011,44.64,49.33,41.83,52.14,8.18,7.48,7.4,6.39,2.73,2.65,1.08,1.04,5.45,5.45,1.75
12M 2012,51.64,56.49,42.3,65.83,7.07,6.66,6.46,6.95,2.35,2.07,1.03,1.0,5.79,5.79,1.72
12M 2013,59.66,59.73,43.56,75.83,6.12,6.06,6.11,5.81,1.97,1.96,0.88,0.83,3.18,3.18,2.31
12M 2014,57.89,69.86,43.44,84.31,6.3,5.93,5.23,4.83,1.86,1.74,0.83,0.83,4.13,4.13,2.02
12M 2015,63.04,76.9,46.46,93.48,5.79,5.47,4.75,4.96,1.59,1.51,0.77,0.75,4.49,4.49,1.78
12M 2016,74.26,76.81,54.96,96.11,4.92,4.54,4.75,4.88,1.53,1.52,0.75,0.74,4.3,4.3,1.73
12M 2017,76.19,75.1,54.38,96.91,4.79,4.49,4.86,4.62,1.57,1.59,0.77,0.76,5.11,5.11,1.63
12M 2018,71.45,82.09,56.11,97.43,5.11,4.86,4.45,3.97,1.68,1.64,0.81,0.78,5.34,5.34,1.5
12M 2019,79.47,80.41,56.68,103.2,4.59,4.41,4.54,5.17,1.72,1.73,0.83,0.84,5.95,5.95,1.49
12M 2020,97.64,74.56,61.68,110.52,3.74,3.76,4.9,5.79,1.5,1.52,0.73,0.75,4.67,4.67,1.61
12M 2021,80.28,66.17,55.41,91.04,4.55,4.21,5.52,4.46,1.76,1.77,0.85,0.81,4.26,4.26,1.76
12M 2022,72.57,74.95,55.33,92.19,5.03,4.63,4.87,4.52,1.98,1.95,0.92,0.89,4.83,4.83,1.67
12M 2023,83.14,81.58,55.73,108.99,4.39,4.18,4.47,4.84,1.93,1.94,0.89,0.9,4.33,4.33,1.85
12M 2024,92.41,70.69,53.12,109.98,3.95,3.75,5.16,5.29,2.03,2.01,0.91,0.89,13.78,13.78,1.16
