Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,3.48 B,-179.29,-1.12,0.09,,-7.17%,-37.88%,17.50%,1.26
12M 2009,3.48 B,259.79,1.64,0.19,,10.20%,33.90%,16.14%,2.72
12M 2010,3.48 B,238.36,9.65,0.81,,8.01%,23.55%,16.76%,3.51
12M 2011,3.48 B,196.17,15.29,0.88,,5.92%,15.43%,12.26%,2.91
12M 2012,3.48 B,324.91,6.85,0.62,,8.80%,20.67%,18.13%,4.33
12M 2013,3.48 B,34.53,48.65,0.47,,0.78%,2.10%,12.28%,2.37
12M 2014,3.48 B,77.44,18.40,0.38,,1.68%,4.51%,9.12%,1.86
12M 2015,3.48 B,-89.91,-5.89,0.14,,-1.79%,-5.81%,8.32%,1.51
12M 2016,3.48 B,179.80,5.95,0.27,,3.35%,10.71%,11.14%,2.10
12M 2017,3.48 B,12.92,52.63,0.17,,0.25%,0.79%,7.06%,1.22
12M 2018,3.48 B,-21.39,-30.39,0.15,"1,654.60 B",-0.38%,-1.27%,6.81%,1.07
12M 2019,3.48 B,77.22,7.58,0.13,"1,777.47 B",1.43%,4.32%,8.00%,1.25
12M 2020,3.48 B,91.94,7.12,0.17,"2,047.89 B",1.80%,4.68%,10.10%,1.79
12M 2021,3.48 B,24.78,26.84,0.15,"1,442.38 B",0.47%,1.24%,5.45%,0.91
12M 2022,3.48 B,-52.05,-10.76,0.11,"1,429.87 B",-0.95%,-2.51%,5.15%,1.12
12M 2023,3.48 B,338.96,3.05,0.21,"2,787.21 B",6.22%,14.14%,14.74%,3.07
12M 2024,3.48 B,340.60,3.29,0.22,"2,934.71 B",5.77%,12.55%,16.22%,3.19
