Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(8 B),(6 B),(14 B),-19.61
12M 2009,21 B,(5 B),16 B,22.86
12M 2010,(13 B),(3 B),(15 B),-21.21
12M 2011,13 B,(8 B),5 B,7.43
12M 2012,37 B,(24 B),13 B,18.10
12M 2013,38 B,(82 B),(44 B),-61.78
12M 2014,67 B,(62 B),5 B,6.56
12M 2015,55 B,(45 B),10 B,13.41
12M 2016,62 B,(39 B),24 B,32.99
12M 2017,72 B,(48 B),24 B,33.13
12M 2018,18 B,(8 B),10 B,13.52
12M 2019,5 B,(4 B),1 B,1.33
12M 2020,(15 B),(1 B),(15 B),-21.17
12M 2021,(24 B),(0 B),(24 B),-34.07
12M 2022,13 B,(0 B),13 B,18.43
12M 2023,19 B,(2 B),18 B,25.00
12M 2024,37 B,(0 B),37 B,51.30
