Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(4 B),(0 B),(4 B),-8.54
12M 2009,0 B,(0 B),0 B,0.51
12M 2010,(3 B),(11 B),(14 B),-27.42
12M 2011,14 B,(70 B),(56 B),-108.25
12M 2012,1 B,(0 B),1 B,1.38
12M 2013,4 B,(1 B),4 B,6.74
12M 2014,0 B,(0 B),0 B,0.60
12M 2015,1 B,(0 B),1 B,1.00
12M 2016,0 B,,0 B,0.33
12M 2017,(1 B),,(1 B),-2.02
12M 2018,1 B,,1 B,2.18
12M 2019,1 B,,1 B,0.96
12M 2020,1 B,,1 B,0.54
12M 2021,(1 B),,(1 B),-0.89
12M 2022,(2 B),,(2 B),-1.40
12M 2023,10 B,(3 B),7 B,5.39
12M 2024,3 B,(2 B),1 B,0.89
