Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,17 B,(21 B),(4 B),-8.60
12M 2009,108 B,(16 B),92 B,212.17
12M 2010,70 B,(244 B),(174 B),-401.65
12M 2011,925 B,(796 B),130 B,60.11
12M 2012,(308 B),(610 B),(918 B),-424.94
12M 2013,"1,349 B","(1,450 B)",(101 B),-46.68
12M 2014,"1,458 B","(1,448 B)",9 B,4.28
12M 2015,(218 B),(404 B),(622 B),-287.89
12M 2016,859 B,(163 B),697 B,322.55
12M 2017,564 B,(22 B),542 B,162.96
12M 2018,284 B,(22 B),262 B,78.50
12M 2019,257 B,(27 B),230 B,68.82
12M 2020,63 B,(1 B),63 B,18.70
12M 2021,(4 B),(6 B),(11 B),-3.15
12M 2022,119 B,(2 B),117 B,34.96
12M 2023,83 B,(26 B),57 B,16.98
12M 2024,75 B,(7 B),69 B,20.49
