Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,4.16,,2.89,,21.47,,1.02,2.08,2.08,2.15
12M 2009,93.81,116.71,81.17,129.35,3.89,3.35,3.13,3.46,19.18,18.65,1.03,1.04,3.07,3.07,1.75
12M 2010,51.74,80.0,63.55,68.19,7.05,8.15,4.56,4.14,16.63,11.74,1.37,1.18,9.35,9.35,1.23
12M 2011,44.83,86.43,131.66,-0.4,8.14,7.4,4.22,3.54,11.51,8.34,1.12,0.88,-7.86,-7.86,0.84
12M 2012,65.87,176.55,207.61,34.81,5.54,6.43,2.07,1.62,7.57,8.14,0.65,0.61,-7.17,-7.17,0.87
12M 2013,68.72,184.31,191.96,61.07,5.31,4.7,1.98,2.24,9.15,9.57,0.57,0.54,-3.01,-3.01,0.74
12M 2014,126.31,206.6,372.28,-39.37,2.89,2.8,1.77,2.07,3.25,3.33,0.32,0.31,-2.35,-2.35,0.76
12M 2015,164.37,200.03,357.1,7.3,2.22,2.07,1.82,2.05,1.65,1.67,0.23,0.22,-3.97,-3.97,0.86
12M 2016,147.74,139.85,211.78,75.81,2.47,2.29,2.61,2.71,1.78,1.74,0.27,0.29,-5.1,-5.1,0.88
12M 2017,105.28,107.05,170.05,42.28,3.47,3.22,3.41,3.13,2.36,2.37,0.4,0.39,-2.91,-2.91,0.75
12M 2018,75.69,99.17,112.81,62.05,4.82,4.16,3.68,3.31,3.15,3.15,0.54,0.54,6.82,6.82,1.22
12M 2019,87.2,127.35,95.73,118.82,4.19,4.5,2.87,2.69,2.23,2.27,0.43,0.45,4.76,4.76,1.49
12M 2020,137.3,194.47,139.68,192.09,2.66,2.48,1.88,2.25,0.78,0.79,0.2,0.2,-0.28,-0.28,0.21
12M 2021,99.16,142.11,130.81,110.46,3.68,3.74,2.57,2.81,0.71,0.71,0.23,0.24,-0.23,-0.23,0.16
12M 2022,70.53,115.22,124.85,60.9,5.18,4.88,3.17,3.32,0.81,0.84,0.29,0.29,-24.41,-24.41,0.94
12M 2023,85.43,91.54,133.95,43.02,4.27,3.03,3.99,3.39,1.41,1.41,0.46,0.45,204.19,204.19,1.01
12M 2024,145.3,126.83,208.04,64.09,2.51,2.99,2.88,3.07,1.24,1.26,0.39,0.41,-10.28,-10.28,0.89
