Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.43 B,53.11,21.24,0.43,,2.02%,6.98%,26.55%,3.20
12M 2009,0.43 B,86.74,38.15,1.28,,3.60%,10.48%,17.51%,3.60
12M 2010,0.43 B,195.67,60.07,2.77,,5.17%,20.51%,23.05%,4.21
12M 2011,2.16 B,61.83,9.15,0.41,,3.57%,25.25%,27.87%,4.89
12M 2012,2.16 B,13.70,31.53,0.36,,0.69%,5.80%,17.78%,2.27
12M 2013,2.16 B,-102.02,-2.44,0.21,,-4.65%,-72.92%,10.86%,1.41
12M 2014,2.16 B,-37.55,-7.14,0.35,,-1.40%,-9.73%,3.85%,0.89
12M 2015,2.16 B,-143.15,-1.81,0.42,,-5.33%,-51.22%,1.19%,0.42
12M 2016,2.16 B,-89.41,-3.76,0.48,,-3.72%,-40.53%,-1.00%,-0.29
12M 2017,3.32 B,-67.80,-6.31,0.69,,-4.33%,-49.05%,-4.96%,-1.10
12M 2018,3.33 B,-105.56,-4.62,0.59,286.60 B,-7.04%,-266.55%,0.95%,0.17
12M 2019,3.34 B,-131.91,-3.78,0.85,(30.69 B),-10.86%,148.59%,-3.83%,-0.84
12M 2020,3.34 B,-255.46,-0.74,0.93,(178.37 B),-29.57%,75.40%,-20.47%,-2.60
12M 2021,3.34 B,-123.01,-0.55,0.37,(123.97 B),-16.84%,27.08%,40.98%,-1.37
12M 2022,3.34 B,-26.02,-2.84,0.37,(10.66 B),-3.98%,5.16%,-9.01%,-0.36
12M 2023,3.34 B,-11.93,-4.19,0.15,77.86 B,-1.61%,2.31%,3.39%,0.50
12M 2024,3.34 B,-26.82,-0.45,0.04,46.49 B,-3.78%,4.94%,1.83%,0.23
