Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,14 B,(5 B),10 B,60.17
12M 2009,84 B,(1 B),83 B,523.70
12M 2010,(90 B),(13 B),(103 B),-652.36
12M 2011,20 B,(46 B),(26 B),-162.82
12M 2012,(99 B),(21 B),(120 B),-760.23
12M 2013,78 B,(12 B),66 B,417.59
12M 2014,82 B,(36 B),46 B,145.77
12M 2015,47 B,(43 B),4 B,11.34
12M 2016,(150 B),(23 B),(173 B),-544.97
12M 2017,51 B,(4 B),47 B,74.89
12M 2018,132 B,(17 B),115 B,182.24
12M 2019,(66 B),(23 B),(89 B),-140.77
12M 2020,23 B,(11 B),12 B,18.28
12M 2021,(78 B),(8 B),(86 B),-135.29
12M 2022,6 B,(3 B),3 B,4.68
12M 2023,(120 B),(6 B),(125 B),-197.66
12M 2024,(9 B),(15 B),(24 B),-38.07
