Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,4.84,,2.66,,15.84,,1.03,9.05,9.05,1.2
12M 2009,95.09,147.63,103.33,139.39,3.84,4.69,2.47,3.2,13.51,14.49,0.86,0.99,50.54,50.54,1.04
12M 2010,67.75,146.77,71.47,143.05,5.39,7.67,2.49,2.19,17.56,18.77,1.07,1.05,5.58,5.58,1.4
12M 2011,56.28,163.73,63.66,156.35,6.49,6.0,2.23,2.24,12.15,8.65,1.19,1.12,9.1,9.1,1.19
12M 2012,68.96,173.03,61.92,180.07,5.29,5.08,2.11,2.07,7.58,7.25,1.01,0.95,2.73,2.73,1.99
12M 2013,78.01,170.3,71.58,176.73,4.68,4.69,2.14,1.95,7.67,7.72,0.93,0.88,6.17,6.17,1.24
12M 2014,75.36,134.82,68.03,142.15,4.84,4.55,2.71,2.58,9.96,9.54,1.12,1.08,19.03,19.03,1.08
12M 2015,88.52,91.23,58.44,121.31,4.12,3.94,4.0,4.25,8.26,7.86,1.24,1.18,415.11,415.11,1.0
12M 2016,139.87,90.73,83.57,147.03,2.61,2.61,4.02,3.95,5.44,5.45,0.96,0.99,449.07,449.07,1.0
12M 2017,178.09,111.04,92.25,196.88,2.05,2.15,3.29,3.37,4.2,4.3,0.77,0.77,-150.77,-150.77,0.99
12M 2018,134.32,84.22,59.39,159.15,2.72,3.2,4.33,3.7,4.97,4.92,0.86,0.81,47.1,47.1,1.02
12M 2019,115.2,76.66,53.29,138.57,3.17,3.39,4.76,4.12,5.41,5.58,0.93,0.97,18.94,18.94,1.08
12M 2020,143.76,114.4,61.6,196.56,2.54,2.24,3.19,2.7,4.25,4.16,0.79,0.76,9.3,9.3,1.11
12M 2021,87.57,119.94,58.71,148.8,4.17,4.5,3.04,2.74,5.08,5.24,0.98,0.98,21.63,21.63,1.06
12M 2022,57.45,136.97,50.31,144.11,6.35,3.84,2.66,2.48,4.87,4.95,0.93,0.9,661.43,661.43,1.0
12M 2023,58.99,167.8,46.31,180.48,6.19,6.43,2.18,2.23,4.18,4.27,0.83,0.86,-26.75,-26.75,0.96
12M 2024,55.36,161.92,50.57,166.71,6.59,6.15,2.25,2.4,3.33,3.32,0.78,0.79,-7.42,-7.42,0.85
