Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.47 B,19.63,2.55,0.06,,4.74%,9.88%,22.15%,144.76
12M 2009,0.47 B,14.16,6.36,0.10,,2.86%,6.78%,8.55%,89.03
12M 2010,0.47 B,20.73,5.40,0.11,,3.49%,9.19%,10.88%,67.59
12M 2011,0.47 B,27.78,5.22,0.13,,4.86%,11.14%,14.57%,17.79
12M 2012,0.47 B,27.05,4.84,0.13,,4.89%,10.04%,12.67%,14.16
12M 2013,0.47 B,22.64,7.38,0.19,,4.00%,7.94%,10.32%,4.27
12M 2014,0.47 B,8.29,84.44,0.81,,1.48%,2.92%,6.46%,2.32
12M 2015,0.47 B,4.39,159.45,0.75,,0.72%,1.53%,3.88%,1.37
12M 2016,0.47 B,-13.25,-24.00,0.42,,-2.39%,-4.87%,0.01%,
12M 2017,0.47 B,-123.21,-1.01,0.19,,-31.93%,-81.35%,4.42%,4.70
12M 2018,0.47 B,-16.49,-6.67,0.33,(8.32 B),-6.24%,-12.23%,-13.57%,-30.56
12M 2019,0.47 B,1.44,68.75,0.53,(8.89 B),0.74%,1.05%,-14.56%,-241.08
12M 2020,0.47 B,-52.56,-2.61,1.50,(19.77 B),-50.32%,-62.71%,-38.77%,-751.31
12M 2021,0.47 B,3.24,68.52,2.19,(0.18 B),3.24%,3.73%,-0.72%,-16.78
12M 2022,0.47 B,-8.30,-26.27,2.16,(5.80 B),-7.54%,-10.53%,-14.53%,-69.41
12M 2023,0.47 B,-5.85,-23.08,1.47,(1.90 B),-6.65%,-8.02%,-6.88%,-52.23
12M 2024,0.47 B,-17.09,-218.84,44.07,(6.98 B),-22.73%,-30.63%,-25.08%,-65.30
