Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,14 B,(1 B),13 B,28.90
12M 2009,(7 B),(2 B),(9 B),-14.37
12M 2010,11 B,(2 B),9 B,20.40
12M 2011,(12 B),(2 B),(14 B),0.00
12M 2012,(22 B),(2 B),(24 B),0.00
12M 2013,29 B,(1 B),28 B,60.08
12M 2014,9 B,(1 B),8 B,16.82
12M 2015,9 B,(1 B),9 B,18.68
12M 2016,(6 B),,(6 B),-12.81
12M 2017,18 B,(0 B),18 B,37.82
12M 2018,(9 B),(0 B),(9 B),-19.32
12M 2019,(3 B),(0 B),(3 B),-6.98
12M 2020,(9 B),(0 B),(10 B),-20.57
12M 2021,1 B,(0 B),1 B,1.35
12M 2022,(1 B),(0 B),(2 B),-3.46
12M 2023,1 B,(0 B),1 B,1.60
12M 2024,(9 B),(2 B),(11 B),-23.77
