Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.9,1.9,0.02,2.08,0.0,0.0,-0.46,0.01,1.08
12M 2009,1.72,1.72,0.01,2.37,0.0,0.0,-0.34,0.01,1.37
12M 2010,1.63,1.63,0.02,2.63,0.0,0.0,-0.39,0.0,1.63
12M 2011,1.74,1.74,0.06,2.29,0.0,0.0,-0.19,0.03,1.29
12M 2012,1.85,1.85,0.33,2.05,0.0,0.0,0.13,0.16,1.05
12M 2013,1.91,1.91,0.23,1.99,0.0,0.0,-0.02,0.12,0.98
12M 2014,1.97,1.97,0.23,1.98,0.0,0.0,-0.06,0.12,0.98
12M 2015,1.83,1.83,0.23,2.12,0.0,0.0,-0.12,0.11,1.12
12M 2016,1.84,1.84,0.2,2.04,0.0,0.0,-0.08,0.1,1.03
12M 2017,1.5,1.5,0.11,2.55,0.0,0.0,-0.48,0.04,1.55
12M 2018,1.91,1.91,0.0,1.96,0.0,0.0,-0.53,0.0,0.96
12M 2019,3.18,3.18,0.0,1.42,0.0,0.0,-0.63,0.0,0.42
12M 2020,5.73,5.73,0.0,1.25,0.0,0.0,-0.79,0.0,0.25
12M 2021,9.45,9.45,0.0,1.15,0.0,0.0,-0.78,0.0,0.15
12M 2022,4.52,4.52,0.0,1.4,0.0,0.0,-0.8,0.0,0.4
12M 2023,6.84,6.84,0.0,1.21,0.0,0.0,-0.89,0.0,0.21
12M 2024,3.94,3.94,0.0,1.35,0.0,0.0,-0.7,0.0,0.35
