Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"1,122 B",(578 B),543 B,398.20
12M 2009,881 B,(530 B),351 B,257.53
12M 2010,"1,377 B",(396 B),982 B,719.37
12M 2011,"1,736 B",(394 B),"1,343 B",196.79
12M 2012,"1,413 B",(804 B),610 B,89.34
12M 2013,"1,252 B","(1,094 B)",158 B,23.10
12M 2014,"1,515 B",(964 B),551 B,80.70
12M 2015,849 B,(627 B),222 B,32.54
12M 2016,"1,072 B",(360 B),711 B,104.26
12M 2017,"1,262 B",(286 B),976 B,143.02
12M 2018,663 B,(311 B),352 B,51.59
12M 2019,480 B,(464 B),16 B,2.37
12M 2020,"1,338 B",(378 B),959 B,140.61
12M 2021,"1,879 B",(308 B),"1,570 B",230.18
12M 2022,"1,087 B",(321 B),767 B,112.35
12M 2023,"1,411 B",(369 B),"1,043 B",152.80
12M 2024,"1,565 B",(376 B),"1,189 B",174.35
