Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,94 B,(30 B),64 B,389.90
12M 2014,21 B,(65 B),(43 B),-128.05
12M 2015,(3 B),(311 B),(314 B),-929.05
12M 2016,107 B,(371 B),(264 B),-603.46
12M 2017,145 B,(11 B),134 B,305.77
12M 2018,222 B,(4 B),218 B,249.61
12M 2019,257 B,(321 B),(64 B),-73.12
12M 2020,(88 B),(119 B),(207 B),-236.69
12M 2021,(36 B),(14 B),(50 B),-56.86
12M 2022,244 B,(22 B),222 B,253.66
12M 2023,204 B,(83 B),121 B,138.01
12M 2024,239 B,(51 B),188 B,214.92
