Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(1 B),(6 B),(7 B),-9.85
12M 2009,(39 B),(0 B),(39 B),-32.59
12M 2010,(18 B),(3 B),(21 B),-17.86
12M 2011,(38 B),(3 B),(41 B),-28.76
12M 2012,8 B,(8 B),(0 B),-0.17
12M 2013,107 B,(6 B),101 B,70.56
12M 2014,(15 B),(10 B),(25 B),-17.55
12M 2015,(44 B),(13 B),(57 B),-39.96
12M 2016,89 B,(3 B),86 B,59.93
12M 2017,(8 B),(2 B),(10 B),-6.67
12M 2018,10 B,(2 B),8 B,5.25
12M 2019,(0 B),(2 B),(3 B),-1.79
12M 2020,7 B,(7 B),1 B,0.41
12M 2021,79 B,(1 B),78 B,54.90
12M 2022,1 B,(3 B),(2 B),-1.72
12M 2023,(4 B),(10 B),(14 B),-9.95
12M 2024,9 B,(2 B),7 B,5.01
