Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,678 B,(849 B),(171 B),-2450.54
12M 2009,434 B,(225 B),210 B,272.03
12M 2010,347 B,(129 B),219 B,283.56
12M 2011,468 B,(447 B),21 B,27.13
12M 2012,(745 B),(371 B),"(1,116 B)",-1448.32
12M 2013,670 B,"(1,081 B)",(411 B),-533.24
12M 2014,345 B,"(1,612 B)","(1,267 B)",-1644.62
12M 2015,11 B,"(1,669 B)","(1,658 B)",-2152.05
12M 2016,330 B,"(1,252 B)",(922 B),-1196.86
12M 2017,"1,276 B",(830 B),445 B,577.95
12M 2018,"1,976 B",(450 B),"1,526 B",1980.79
12M 2019,"3,023 B",(500 B),"2,523 B",3274.36
12M 2020,"4,620 B",(386 B),"4,234 B",5494.92
12M 2021,"6,239 B",(490 B),"5,748 B",7460.16
12M 2022,"32,622 B","(2,116 B)","30,506 B",39589.97
12M 2023,"15,919 B","(3,544 B)","12,375 B",16059.44
12M 2024,"11,203 B","(5,097 B)","6,106 B",792.42
