Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2014,2.22 B,5.36,0.00,0.00,,0.44%,4.36%,1.13%,
12M 2015,2.52 B,9.89,36.10,5.22,,0.73%,6.80%,1.10%,
12M 2016,4.20 B,16.19,26.62,7.32,,1.64%,10.57%,2.48%,
12M 2017,4.70 B,3.07,128.34,5.98,,0.29%,2.13%,0.42%,
12M 2018,5.19 B,-26.38,-10.61,5.08,(129.98 B),-3.02%,-22.82%,-2.90%,
12M 2019,6.16 B,2.60,107.69,7.98,29.64 B,0.31%,1.69%,0.41%,
12M 2020,6.66 B,2.38,123.53,12.38,66.98 B,0.29%,1.42%,0.32%,
12M 2021,9.42 B,-104.68,-25.12,78.64,(949.01 B),-8.70%,-34.13%,-11.76%,
12M 2022,9.42 B,-83.75,-7.70,4.19,(732.41 B),-4.01%,-21.07%,-5.06%,
12M 2023,12.04 B,-47.61,-9.16,1.81,(514.53 B),-3.15%,-17.25%,-3.04%,
12M 2024,13.35 B,1.49,146.31,1.06,98.49 B,0.11%,0.56%,0.16%,
