Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2014,0.00,122.97,0.00,122.97,,,,,
12M 2015,2.46,145.31,2.47,144.49,,,,,
12M 2016,2.81,153.11,2.82,152.78,,,,,
12M 2017,2.74,143.90,2.75,143.50,,,,,
12M 2018,2.42,115.62,2.43,115.32,,,,,
12M 2019,1.82,153.49,1.83,153.17,,,,,
12M 2020,1.75,168.22,1.75,168.04,,,,,
12M 2021,8.57,306.72,8.87,296.36,,,,,
12M 2022,1.62,397.44,1.68,383.93,,,,,
12M 2023,1.58,276.03,1.65,264.00,,,,,
12M 2024,0.82,266.79,0.85,256.71,,,,,
