Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2014,(154 B),(6 B),(160 B),-72.04
12M 2015,54 B,(3 B),50 B,20.05
12M 2016,(337 B),(16 B),(352 B),-83.88
12M 2017,297 B,(11 B),286 B,60.93
12M 2018,(364 B),(7 B),(371 B),-71.39
12M 2019,(309 B),(14 B),(323 B),-52.40
12M 2020,(152 B),(24 B),(176 B),-26.37
12M 2021,369 B,(132 B),237 B,25.18
12M 2022,"3,085 B",(247 B),"2,838 B",301.24
12M 2023,"(2,174 B)",(84 B),"(2,258 B)",-187.55
12M 2024,121 B,(26 B),94 B,7.05
