Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(39 B),(33 B),(73 B),-71.85
12M 2009,43 B,(9 B),34 B,33.94
12M 2010,33 B,(22 B),11 B,10.89
12M 2011,(58 B),(11 B),(69 B),-67.81
12M 2012,13 B,(18 B),(5 B),-4.93
12M 2013,(21 B),(10 B),(31 B),-30.61
12M 2014,73 B,(9 B),64 B,63.40
12M 2015,16 B,(1 B),15 B,15.25
12M 2016,2 B,(38 B),(36 B),-35.14
12M 2017,(13 B),(26 B),(39 B),-38.22
12M 2018,(12 B),(27 B),(38 B),-38.04
12M 2019,8 B,(27 B),(19 B),-18.74
12M 2020,(40 B),(3 B),(43 B),-42.09
12M 2021,(60 B),,(60 B),-59.41
12M 2022,(19 B),(0 B),(19 B),-18.71
12M 2023,(12 B),,(12 B),-12.02
12M 2024,(8 B),,(8 B),-8.34
