Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(44 B),(82 B),(126 B),-106.99
12M 2009,(68 B),(72 B),(140 B),-119.18
12M 2010,94 B,(106 B),(12 B),-10.49
12M 2011,592 B,(142 B),450 B,95.55
12M 2012,"1,236 B",(338 B),898 B,190.92
12M 2013,442 B,(397 B),45 B,9.50
12M 2014,85 B,(324 B),(239 B),-50.77
12M 2015,181 B,(327 B),(147 B),-31.15
12M 2016,(280 B),(211 B),(491 B),-104.37
12M 2017,(265 B),(349 B),(614 B),-130.47
12M 2018,(845 B),(137 B),(982 B),-208.71
12M 2019,(123 B),(93 B),(216 B),-45.89
12M 2020,(811 B),(75 B),(886 B),-188.24
12M 2021,(341 B),(56 B),(397 B),-84.37
12M 2022,(151 B),(154 B),(305 B),-64.84
12M 2023,257 B,(242 B),15 B,3.28
12M 2024,718 B,(452 B),266 B,56.54
