Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,146 B,(480 B),(334 B),-7400301.03
12M 2013,301 B,"(1,019 B)",(719 B),-1115.39
12M 2014,483 B,(523 B),(40 B),-61.85
12M 2015,309 B,(55 B),254 B,98.56
12M 2016,163 B,(9 B),154 B,59.77
12M 2017,133 B,(7 B),126 B,31.19
12M 2018,93 B,(13 B),80 B,19.74
12M 2019,82 B,(30 B),52 B,12.80
12M 2020,125 B,(20 B),105 B,25.99
12M 2021,93 B,(26 B),67 B,16.63
12M 2022,124 B,(36 B),88 B,21.73
12M 2023,172 B,(68 B),104 B,25.59
12M 2024,337 B,(67 B),270 B,46.58
