Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,0.00 B,1899502.51,0.00,0.00,,5.97%,17.47%,22.44%,4.04
12M 2013,0.64 B,311.59,9.05,2.52,,6.98%,14.70%,17.01%,3.75
12M 2014,0.64 B,385.83,7.15,2.07,,7.62%,15.33%,13.41%,4.32
12M 2015,2.58 B,0.26,507.69,0.54,,0.02%,0.04%,3.36%,1.03
12M 2016,2.58 B,-108.25,-0.97,0.63,,-9.34%,-19.40%,-6.16%,-2.03
12M 2017,4.05 B,-66.69,-1.18,0.88,,-9.83%,-21.02%,-6.74%,-2.03
12M 2018,4.05 B,-159.69,-0.31,0.53,(377.53 B),-28.50%,-90.46%,-24.58%,-5.59
12M 2019,4.05 B,-29.85,-1.68,0.56,89.18 B,-5.76%,-21.49%,-2.47%,-0.66
12M 2020,4.05 B,-9.69,-5.16,0.54,123.72 B,-1.97%,-7.37%,-0.60%,-0.27
12M 2021,4.05 B,-9.38,-5.97,0.55,138.82 B,-1.95%,-7.57%,0.33%,0.16
12M 2022,4.05 B,-22.00,-3.09,0.63,133.77 B,-4.27%,-19.63%,-1.52%,-0.47
12M 2023,4.05 B,-20.37,-3.04,0.50,193.55 B,-4.12%,-22.43%,0.60%,0.11
12M 2024,5.80 B,9.67,10.13,0.77,384.58 B,2.67%,7.76%,10.29%,1.42
