Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,18.59 B,12.33,0.00,0.00,,6.45%,17.33%,25.19%,2.69
12M 2013,18.59 B,16.65,14.71,0.97,,5.54%,13.35%,24.11%,3.02
12M 2014,18.59 B,33.80,4.82,0.44,,7.23%,21.68%,20.78%,3.15
12M 2015,18.59 B,40.09,9.70,0.87,,6.90%,19.53%,14.74%,2.77
12M 2016,18.59 B,42.49,5.41,0.47,,6.21%,17.76%,14.67%,2.28
12M 2017,20.45 B,44.52,8.54,0.76,,5.63%,15.20%,14.51%,2.14
12M 2018,20.45 B,58.91,6.08,0.50,"3,048.00 B",6.10%,16.12%,15.27%,2.55
12M 2019,20.45 B,60.63,4.29,0.32,"3,657.27 B",5.72%,15.05%,17.24%,2.63
12M 2020,20.45 B,60.81,4.31,0.29,"3,385.25 B",4.76%,13.11%,12.85%,2.31
12M 2021,20.45 B,-756.68,-0.19,0.25,"(12,251.89 B)",-87.82%,271.78%,-172.04%,-8.06
12M 2022,20.45 B,-287.71,-0.51,0.38,"(3,197.50 B)",-49.36%,48.32%,-150.04%,-12.66
12M 2023,20.45 B,-130.41,-1.12,0.60,"(1,475.83 B)",-26.62%,18.09%,-21.45%,-6.57
